NAME                          VERSION                TYPE                  
@socket.io/component-emitter  3.1.0                  npm                    
@types/cookie                 0.4.1                  npm                    
@types/cors                   2.8.17                 npm                    
@types/node                   20.11.30               npm                    
WebApp                        0.7.1                  npm                    
accepts                       1.3.8                  npm                    
ada-libs                      2.7.4-r0               apk                    
alpine-baselayout             3.4.3-r2               apk                    
alpine-baselayout-data        3.4.3-r2               apk                    
alpine-keys                   2.4-r1                 apk                    
alpine-release                3.19.1-r0              apk                    
ansi-styles                   4.3.0                  npm                    
apk-tools                     2.14.0-r5              apk                    
argparse                      2.0.1                  npm                    
array-flatten                 1.1.1                  npm                    
async                         3.2.5                  npm                    
balanced-match                1.0.2                  npm                    
base64id                      2.0.0                  npm                    
bash                          5.2.21-r0              apk                    
body-parser                   1.20.1                 npm                    
brace-expansion               1.1.11                 npm                    
brace-expansion               2.0.1                  npm                    
brotli-libs                   1.1.0-r1               apk                    
busybox                       1.36.1-r15             apk                    
busybox-binsh                 1.36.1-r15             apk                    
bytes                         3.1.2                  npm                    
c-ares                        1.24.0-r1              apk                    
ca-certificates               20230506-r0            apk                    
ca-certificates-bundle        20230506-r0            apk                    
call-bind                     1.0.7                  npm                    
chalk                         4.1.2                  npm                    
color-convert                 2.0.1                  npm                    
color-name                    1.1.4                  npm                    
concat-map                    0.0.1                  npm                    
content-disposition           0.5.4                  npm                    
content-type                  1.0.5                  npm                    
cookie                        0.4.2                  npm                    
cookie                        0.5.0                  npm                    
cookie-signature              1.0.6                  npm                    
coreutils                     9.4-r2                 apk                    
coreutils-env                 9.4-r2                 apk                    
coreutils-fmt                 9.4-r2                 apk                    
coreutils-sha512sum           9.4-r2                 apk                    
cors                          2.8.5                  npm                    
curl                          8.5.0-r0               apk                    
debug                         2.6.9                  npm                    
debug                         4.3.4                  npm   (+3 duplicates)  
define-data-property          1.1.4                  npm                    
depd                          2.0.0                  npm                    
destroy                       1.2.0                  npm                    
ee-first                      1.1.1                  npm                    
ejs                           3.1.9                  npm                    
encodeurl                     1.0.2                  npm                    
engine.io                     6.5.4                  npm                    
engine.io-parser              5.2.2                  npm                    
es-define-property            1.0.0                  npm                    
es-errors                     1.3.0                  npm                    
escape-html                   1.0.3                  npm                    
etag                          1.8.1                  npm                    
express                       4.18.2                 npm                    
filelist                      1.0.4                  npm                    
finalhandler                  1.2.0                  npm                    
forwarded                     0.2.0                  npm                    
fresh                         0.5.2                  npm                    
function-bind                 1.1.2                  npm                    
get-intrinsic                 1.2.4                  npm                    
gopd                          1.0.1                  npm                    
has-flag                      4.0.0                  npm                    
has-property-descriptors      1.0.2                  npm                    
has-proto                     1.0.3                  npm                    
has-symbols                   1.0.3                  npm                    
hasown                        2.0.2                  npm                    
hiredis                       1.2.0-r0               apk                    
http                          0.0.0                  npm                    
http-errors                   2.0.0                  npm                    
iconv-lite                    0.4.24                 npm                    
icu-data-en                   74.1-r0                apk                    
icu-libs                      74.1-r0                apk                    
inherits                      2.0.4                  npm                    
ipaddr.js                     1.9.1                  npm                    
isbinaryfile                  5.0.0                  npm                    
jake                          10.8.7                 npm                    
jq                            1.7.1-r0               apk                    
js-yaml                       4.1.0                  npm                    
libacl                        2.3.1-r4               apk                    
libattr                       2.5.1-r5               apk                    
libbase64                     0.5.0-r0               apk                    
libbsd                        0.11.7-r3              apk                    
libc-utils                    0.7.2-r5               apk                    
libcrypto3                    3.1.4-r5               apk                    
libcurl                       8.5.0-r0               apk                    
libgcc                        13.2.1_git20231014-r0  apk                    
libidn2                       2.3.4-r4               apk                    
libintl                       0.22.3-r0              apk                    
libmd                         1.1.0-r0               apk                    
libncursesw                   6.4_p20231125-r0       apk                    
libproc2                      4.0.4-r0               apk                    
libssl3                       3.1.4-r5               apk                    
libstdc++                     13.2.1_git20231014-r0  apk                    
libunistring                  1.1-r2                 apk                    
linux-pam                     1.5.3-r7               apk                    
media-typer                   0.3.0                  npm                    
merge-descriptors             1.0.1                  npm                    
methods                       1.1.2                  npm                    
mime                          1.6.0                  npm                    
mime-db                       1.52.0                 npm                    
mime-types                    2.1.35                 npm                    
minimatch                     3.1.2                  npm                    
minimatch                     5.1.6                  npm                    
ms                            2.0.0                  npm                    
ms                            2.1.2                  npm   (+3 duplicates)  
ms                            2.1.3                  npm                    
musl                          1.2.4_git20230717-r4   apk                    
